airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
Air India,28,3,2022,0,07:35,08:55,jaipur,chennai,25h 20m,E,1 stop,3129,20211229-2207,15190.333333333334,3129
Air India,28,3,2022,0,20:35,23:35,jaipur,chennai,27h 00m,E,1 stop,3786,20211229-2207,15190.333333333334,3129
Air India,28,3,2022,0,20:35,08:55,jaipur,chennai,12h 20m,E,1 stop,3871,20211229-2207,15190.333333333334,3129
Air India,28,3,2022,0,20:35,12:40,jaipur,chennai,16h 05m,E,1 stop,4054,20211229-2207,15190.333333333334,3129
IndiGo,28,3,2022,0,19:05,00:40,jaipur,chennai,5h 35m,E,1 stop,4094,20211229-2207,15190.333333333334,3129
IndiGo,28,3,2022,0,06:05,12:25,jaipur,chennai,6h 20m,E,1 stop,90385,20211229-2207,15190.333333333334,3129
IndiGo,28,3,2022,0,06:05,17:25,jaipur,chennai,11h 20m,E,1 stop,3129,20211229-2207,15190.333333333334,3129
Air India,28,3,2022,0,14:00,10:55,jaipur,chennai,20h 55m,E,1 stop,3129,20211229-2207,15190.333333333334,3129
Air India,28,3,2022,0,07:35,23:35,jaipur,chennai,16h 00m,E,1 stop,3845,20211229-2207,15190.333333333334,3129
GoFirst,28,3,2022,0,08:10,20:40,jaipur,chennai,12h 30m,E,1 stop,3871,20211229-2207,15190.333333333334,3129
GoFirst,28,3,2022,0,18:45,07:45,jaipur,chennai,13h 00m,E,1 stop,4094,20211229-2207,15190.333333333334,3129
SpiceJet,28,3,2022,0,08:00,21:45,jaipur,chennai,13h 45m,E,1 stop,90385,20211229-2207,15190.333333333334,3129
Air India,28,3,2022,0,17:00,08:55,jaipur,chennai,15h 55m,E,1 stop,3129,20211229-2207,15190.333333333334,3129
Air India,28,3,2022,0,17:00,12:40,jaipur,chennai,19h 40m,E,1 stop,3132,20211229-2207,15190.333333333334,3129
IndiGo,28,3,2022,0,22:25,07:35,jaipur,chennai,9h 10m,E,1 stop,3822,20211229-2207,15190.333333333334,3129
