airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
GoFirst,19,1,2022,2,21:45,07:40,jaipur,chennai,9h 55m,E,1 stop,3399,20211229-2021,4648.533333333334,3386
IndiGo,19,1,2022,2,09:55,12:25,jaipur,chennai,2h 30m,E,direct,3400,20211229-2021,4648.533333333334,3386
IndiGo,19,1,2022,2,14:20,20:25,jaipur,chennai,6h 05m,E,1 stop,3461,20211229-2021,4648.533333333334,3386
IndiGo,19,1,2022,2,14:15,21:45,jaipur,chennai,7h 30m,E,1 stop,3476,20211229-2021,4648.533333333334,3386
SpiceJet,19,1,2022,2,22:15,08:00,jaipur,chennai,9h 45m,E,1 stop,3476,20211229-2021,4648.533333333334,3386
SpiceJet,19,1,2022,2,08:30,21:20,jaipur,chennai,12h 50m,E,1 stop,3552,20211229-2021,4648.533333333334,3386
"SpiceJet, Vistara",19,1,2022,2,08:30,19:55,jaipur,chennai,11h 25m,E,1 stop,3752,20211229-2021,4648.533333333334,3386
AirAsia India,19,1,2022,2,12:25,15:25,jaipur,chennai,3h 00m,E,direct,3789,20211229-2021,4648.533333333334,3386
"AirAsia India, SpiceJet",19,1,2022,2,10:25,21:20,jaipur,chennai,10h 55m,E,1 stop,4727,20211229-2021,4648.533333333334,3386
"SpiceJet, GoFirst",19,1,2022,2,22:15,07:40,jaipur,chennai,9h 25m,E,1 stop,5264,20211229-2021,4648.533333333334,3386
"AirAsia India, Vistara",19,1,2022,2,10:25,19:55,jaipur,chennai,9h 30m,E,1 stop,3386,20211229-2021,4648.533333333334,3386
"SpiceJet, IndiGo",19,1,2022,2,22:15,06:30,jaipur,chennai,8h 15m,E,1 stop,4943,20211229-2021,4648.533333333334,3386
"IndiGo, Vistara",19,1,2022,2,14:15,19:55,jaipur,chennai,5h 40m,E,1 stop,7679,20211229-2021,4648.533333333334,3386
"IndiGo, SpiceJet",19,1,2022,2,14:15,21:20,jaipur,chennai,7h 05m,E,1 stop,7688,20211229-2021,4648.533333333334,3386
IndiGo,19,1,2022,2,07:40,15:40,jaipur,chennai,8h 00m,E,1 stop,7736,20211229-2021,4648.533333333334,3386
