airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
IndiGo,3,2,2022,3,22:25,06:25,jaipur,Bengaluru,8h 00m,E,1 stop,2980,20211230-1238,3792.4666666666667,2965
IndiGo,3,2,2022,3,05:15,07:50,jaipur,Bengaluru,2h 35m,E,direct,3190,20211230-1238,3792.4666666666667,2965
IndiGo,3,2,2022,3,22:20,01:00,jaipur,Bengaluru,2h 40m,E,direct,3213,20211230-1238,3792.4666666666667,2965
IndiGo,3,2,2022,3,14:10,20:55,jaipur,Bengaluru,6h 45m,E,1 stop,3248,20211230-1238,3792.4666666666667,2965
AirAsia India,3,2,2022,3,17:15,20:50,jaipur,Bengaluru,3h 35m,E,1 stop,4977,20211230-1238,3792.4666666666667,2965
AirAsia India,3,2,2022,3,10:25,14:45,jaipur,Bengaluru,4h 20m,E,1 stop,5319,20211230-1238,3792.4666666666667,2965
AirAsia India,3,2,2022,3,12:25,17:00,jaipur,Bengaluru,4h 35m,E,1 stop,2965,20211230-1238,3792.4666666666667,2965
GoFirst,3,2,2022,3,21:30,00:00,jaipur,Bengaluru,2h 30m,E,direct,3525,20211230-1238,3792.4666666666667,2965
IndiGo,3,2,2022,3,22:25,08:55,jaipur,Bengaluru,10h 30m,E,1 stop,3539,20211230-1238,3792.4666666666667,2965
AirAsia India,3,2,2022,3,10:25,14:45,jaipur,Bengaluru,4h 20m,E,direct,3749,20211230-1238,3792.4666666666667,2965
AirAsia India,3,2,2022,3,12:25,17:00,jaipur,Bengaluru,4h 35m,E,direct,3772,20211230-1238,3792.4666666666667,2965
IndiGo,3,2,2022,3,06:20,11:20,jaipur,Bengaluru,5h 00m,E,1 stop,3837,20211230-1238,3792.4666666666667,2965
IndiGo,3,2,2022,3,09:55,15:40,jaipur,Bengaluru,5h 45m,E,1 stop,5528,20211230-1238,3792.4666666666667,2965
IndiGo,3,2,2022,3,04:50,10:35,jaipur,Bengaluru,5h 45m,E,1 stop,3520,20211230-1238,3792.4666666666667,2965
IndiGo,3,2,2022,3,19:30,01:45,jaipur,Bengaluru,6h 15m,E,1 stop,3525,20211230-1238,3792.4666666666667,2965
