airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
Air India,22,5,2022,6,10:20,12:50,jaipur,Bengaluru,2h 30m,E,direct,3131,20211230-1654,3919.4666666666667,3131
IndiGo,22,5,2022,6,10:20,12:50,jaipur,Bengaluru,2h 30m,E,direct,3520,20211230-1654,3919.4666666666667,3131
IndiGo,22,5,2022,6,05:30,08:00,jaipur,Bengaluru,2h 30m,E,direct,3520,20211230-1654,3919.4666666666667,3131
IndiGo,22,5,2022,6,05:30,08:00,jaipur,Bengaluru,2h 30m,E,direct,3520,20211230-1654,3919.4666666666667,3131
GoFirst,22,5,2022,6,22:20,00:50,jaipur,Bengaluru,2h 30m,E,direct,3523,20211230-1654,3919.4666666666667,3131
Air India,22,5,2022,6,22:20,00:50,jaipur,Bengaluru,2h 30m,E,direct,3764,20211230-1654,3919.4666666666667,3131
IndiGo,22,5,2022,6,18:30,21:10,jaipur,Bengaluru,2h 40m,E,direct,4019,20211230-1654,3919.4666666666667,3131
IndiGo,22,5,2022,6,18:30,21:10,jaipur,Bengaluru,2h 40m,E,direct,4019,20211230-1654,3919.4666666666667,3131
IndiGo,22,5,2022,6,12:45,15:15,jaipur,Bengaluru,2h 30m,E,direct,4041,20211230-1654,3919.4666666666667,3131
IndiGo,22,5,2022,6,12:45,15:15,jaipur,Bengaluru,2h 30m,E,direct,4041,20211230-1654,3919.4666666666667,3131
SpiceJet,22,5,2022,6,14:00,11:10,jaipur,Bengaluru,21h 10m,E,1 stop,4298,20211230-1654,3919.4666666666667,3131
GoFirst,22,5,2022,6,14:00,11:10,jaipur,Bengaluru,21h 10m,E,1 stop,4349,20211230-1654,3919.4666666666667,3131
GoFirst,22,5,2022,6,14:15,18:55,jaipur,Bengaluru,4h 40m,E,1 stop,4349,20211230-1654,3919.4666666666667,3131
GoFirst,22,5,2022,6,14:15,18:55,jaipur,Bengaluru,4h 40m,E,1 stop,4349,20211230-1654,3919.4666666666667,3131
GoFirst,22,5,2022,6,14:15,21:05,jaipur,Bengaluru,6h 50m,E,1 stop,4349,20211230-1654,3919.4666666666667,3131
