airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
Air India,2,1,2022,6,19:35,20:30,jaipur,new delhi,0h 55m,E,direct,3078,20211229-2329,3722.5333333333333,3050
IndiGo,2,1,2022,6,19:30,20:25,jaipur,new delhi,0h 55m,E,direct,3395,20211229-2329,3722.5333333333333,3050
IndiGo,2,1,2022,6,19:45,21:00,jaipur,new delhi,1h 15m,E,direct,3395,20211229-2329,3722.5333333333333,3050
AirAsia India,2,1,2022,6,23:50,00:50,jaipur,new delhi,1h 00m,E,direct,3686,20211229-2329,3722.5333333333333,3050
AirAsia India,2,1,2022,6,16:25,17:40,jaipur,new delhi,1h 15m,E,direct,3704,20211229-2329,3722.5333333333333,3050
IndiGo,2,1,2022,6,07:40,08:35,jaipur,new delhi,0h 55m,E,direct,3707,20211229-2329,3722.5333333333333,3050
IndiGo,2,1,2022,6,14:20,15:20,jaipur,new delhi,1h 00m,E,direct,3724,20211229-2329,3722.5333333333333,3050
SpiceJet,2,1,2022,6,09:40,10:40,jaipur,new delhi,1h 00m,E,direct,3750,20211229-2329,3722.5333333333333,3050
GoFirst,2,1,2022,6,08:45,22:25,jaipur,new delhi,13h 40m,E,1 stop,3764,20211229-2329,3722.5333333333333,3050
GoFirst,2,1,2022,6,08:45,20:10,jaipur,new delhi,11h 25m,E,1 stop,3896,20211229-2329,3722.5333333333333,3050
GoFirst,2,1,2022,6,08:45,15:45,jaipur,new delhi,7h 00m,E,1 stop,3928,20211229-2329,3722.5333333333333,3050
GoFirst,2,1,2022,6,08:45,18:00,jaipur,new delhi,9h 15m,E,1 stop,4250,20211229-2329,3722.5333333333333,3050
IndiGo,2,1,2022,6,17:50,19:30,jaipur,new delhi,25h 40m,E,1 stop,4818,20211229-2329,3722.5333333333333,3050
IndiGo,2,1,2022,6,17:50,14:45,jaipur,new delhi,20h 55m,E,1 stop,3050,20211229-2329,3722.5333333333333,3050
IndiGo,2,1,2022,6,17:00,19:00,jaipur,new delhi,26h 00m,E,1 stop,3693,20211229-2329,3722.5333333333333,3050
