airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
Train,7,1,2022,4,04:50,13:15,jaipur,new delhi,8h 25m,E,1 change,461,20211229-2333,54521.8,461
Air India,7,1,2022,4,19:35,20:30,jaipur,new delhi,0h 55m,E,direct,3077,20211229-2333,54521.8,461
IndiGo,7,1,2022,4,19:30,20:25,jaipur,new delhi,0h 55m,E,direct,3395,20211229-2333,54521.8,461
SpiceJet,7,1,2022,4,09:40,10:40,jaipur,new delhi,1h 00m,E,direct,3395,20211229-2333,54521.8,461
AirAsia India,7,1,2022,4,23:50,00:50,jaipur,new delhi,1h 00m,E,direct,3704,20211229-2333,54521.8,461
IndiGo,7,1,2022,4,14:20,15:20,jaipur,new delhi,1h 00m,E,direct,3707,20211229-2333,54521.8,461
IndiGo,7,1,2022,4,07:40,08:25,jaipur,new delhi,0h 45m,E,direct,3724,20211229-2333,54521.8,461
GoFirst,7,1,2022,4,11:20,19:15,jaipur,new delhi,7h 55m,E,1 stop,3764,20211229-2333,54521.8,461
IndiGo,7,1,2022,4,12:40,17:35,jaipur,new delhi,4h 55m,E,1 stop,3896,20211229-2333,54521.8,461
IndiGo,7,1,2022,4,21:05,07:55,jaipur,new delhi,10h 50m,E,1 stop,4250,20211229-2333,54521.8,461
GoFirst,7,1,2022,4,08:45,15:45,jaipur,new delhi,7h 00m,E,1 stop,4831,20211229-2333,54521.8,461
Air India,7,1,2022,4,14:00,20:25,jaipur,new delhi,6h 25m,E,1 stop,3049,20211229-2333,54521.8,461
Air India,7,1,2022,4,14:00,21:15,jaipur,new delhi,7h 15m,E,1 stop,770141,20211229-2333,54521.8,461
Air India,7,1,2022,4,14:00,23:30,jaipur,new delhi,9h 30m,E,1 stop,3123,20211229-2333,54521.8,461
Air India,7,1,2022,4,14:00,08:55,jaipur,new delhi,18h 55m,E,1 stop,3310,20211229-2333,54521.8,461
