airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
Air India,16,3,2022,2,14:00,15:50,jaipur,mumbai,1h 50m,E,direct,2152,20211229-1829,8474.866666666667,2152
SpiceJet,16,3,2022,2,22:15,23:50,jaipur,mumbai,1h 35m,E,direct,2497,20211229-1829,8474.866666666667,2152
SpiceJet,16,3,2022,2,08:30,10:35,jaipur,mumbai,2h 05m,E,direct,2539,20211229-1829,8474.866666666667,2152
IndiGo,16,3,2022,2,19:00,20:45,jaipur,mumbai,1h 45m,E,direct,2607,20211229-1829,8474.866666666667,2152
IndiGo,16,3,2022,2,14:15,16:05,jaipur,mumbai,1h 50m,E,direct,2607,20211229-1829,8474.866666666667,2152
IndiGo,16,3,2022,2,06:20,08:15,jaipur,mumbai,1h 55m,E,direct,2713,20211229-1829,8474.866666666667,2152
IndiGo,16,3,2022,2,07:40,13:05,jaipur,mumbai,5h 25m,E,1 stop,2753,20211229-1829,8474.866666666667,2152
IndiGo,16,3,2022,2,19:30,01:45,jaipur,mumbai,6h 15m,E,1 stop,2979,20211229-1829,8474.866666666667,2152
IndiGo,16,3,2022,2,07:40,14:10,jaipur,mumbai,6h 30m,E,1 stop,91403,20211229-1829,8474.866666666667,2152
IndiGo,16,3,2022,2,21:30,04:10,jaipur,mumbai,6h 40m,E,1 stop,2152,20211229-1829,8474.866666666667,2152
IndiGo,16,3,2022,2,12:40,19:50,jaipur,mumbai,7h 10m,E,1 stop,2214,20211229-1829,8474.866666666667,2152
IndiGo,16,3,2022,2,19:30,04:10,jaipur,mumbai,8h 40m,E,1 stop,2217,20211229-1829,8474.866666666667,2152
IndiGo,16,3,2022,2,21:05,05:55,jaipur,mumbai,8h 50m,E,1 stop,2405,20211229-1829,8474.866666666667,2152
AirAsia India,16,3,2022,2,10:25,12:25,jaipur,mumbai,2h 00m,E,direct,2668,20211229-1829,8474.866666666667,2152
AirAsia India,16,3,2022,2,20:25,22:25,jaipur,mumbai,2h 00m,E,direct,3217,20211229-1829,8474.866666666667,2152
