airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
SpiceJet,17,2,2022,3,22:15,23:50,jaipur,mumbai,1h 35m,E,direct,2214,20211229-1757,2374.866666666667,2186
SpiceJet,17,2,2022,3,08:30,10:35,jaipur,mumbai,2h 05m,E,direct,2217,20211229-1757,2374.866666666667,2186
IndiGo,17,2,2022,3,19:00,20:45,jaipur,mumbai,1h 45m,E,direct,2270,20211229-1757,2374.866666666667,2186
IndiGo,17,2,2022,3,06:20,08:15,jaipur,mumbai,1h 55m,E,direct,2270,20211229-1757,2374.866666666667,2186
IndiGo,17,2,2022,3,07:40,13:05,jaipur,mumbai,5h 25m,E,1 stop,2366,20211229-1757,2374.866666666667,2186
IndiGo,17,2,2022,3,19:30,01:45,jaipur,mumbai,6h 15m,E,1 stop,2405,20211229-1757,2374.866666666667,2186
IndiGo,17,2,2022,3,07:40,14:10,jaipur,mumbai,6h 30m,E,1 stop,2668,20211229-1757,2374.866666666667,2186
IndiGo,17,2,2022,3,21:30,04:10,jaipur,mumbai,6h 40m,E,1 stop,2758,20211229-1757,2374.866666666667,2186
IndiGo,17,2,2022,3,12:40,19:50,jaipur,mumbai,7h 10m,E,1 stop,2932,20211229-1757,2374.866666666667,2186
IndiGo,17,2,2022,3,19:30,04:10,jaipur,mumbai,8h 40m,E,1 stop,2186,20211229-1757,2374.866666666667,2186
AirAsia India,17,2,2022,3,10:25,12:25,jaipur,mumbai,2h 00m,E,direct,2214,20211229-1757,2374.866666666667,2186
AirAsia India,17,2,2022,3,20:25,22:25,jaipur,mumbai,2h 00m,E,direct,2217,20211229-1757,2374.866666666667,2186
IndiGo,17,2,2022,3,07:40,16:35,jaipur,mumbai,8h 55m,E,1 stop,2270,20211229-1757,2374.866666666667,2186
IndiGo,17,2,2022,3,21:30,07:10,jaipur,mumbai,9h 40m,E,1 stop,2270,20211229-1757,2374.866666666667,2186
IndiGo,17,2,2022,3,07:40,18:15,jaipur,mumbai,10h 35m,E,1 stop,2366,20211229-1757,2374.866666666667,2186
